,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.5455,0.537125,0.501375,0.501,0.50175
1,1,0.552,0.575375,0.500875,0.501,0.50075
2,2,0.517875,0.611125,0.501125,0.50125,0.501
3,3,0.55275,0.66725,0.50125,0.50125,0.50125
4,4,0.54,0.677,0.501125,0.50125,0.501
5,5,0.626,0.693875,0.500625,0.5005,0.50075
6,6,0.6945,0.816875,0.50125,0.5015,0.501
7,7,0.74025,0.809625,0.50125,0.50125,0.50125
8,8,0.66425,0.811125,0.501625,0.5015,0.50175
9,9,0.689,0.816625,0.501625,0.5015,0.50175
10,10,0.74325,0.839125,0.5015,0.5015,0.5015
11,11,0.696625,0.8235,0.5015,0.5015,0.5015
